pk_feature_id,city_code,city_name,city_area,parcel_area,percentage,household
54000000000782,2604021535,آبيك,7730360.451237472,6049515.302756883,78.25657472140875,40017
54000000000784,2603022494,معلم كلايه,1868829.6265271725,1868829.6265255183,99.99999999991148,2964
54000000000785,2603032495,رازميان,803261.6206067672,803261.6206067672,100,1963
54000000000786,0106031131,لوشان,3903386.571282383,3903386.571282865,100.00000000001235,10273
54000000000758,0306021223,مراغه,24716931.02103679,24011280.869913913,97.14507375320063,136795
54000000000759,0320021224,ملكان,6197866.734797044,6111518.431021882,98.60680605973067,28024
54000000000760,0408042232,چهاربرج,2565181.0337318224,2559363.0370900906,99.77319352649089,7952
54000000000761,2404012300,رضي,1633601.3141269647,1633601.314123829,99.99999999980804,1277
54000000000762,2408012493,آبي بيگلو,2199546.550266287,2199546.550265503,99.99999999996437,4892
54000000000733,0108021140,صومعه سرا,8370489.62412248,7106354.263117293,84.89771306373595,36235
54000000000734,0112021141,شفت,4982496.572241751,4956717.032814617,99.48259794957501,8467
54000000000735,0112012387,احمدسرگوراب,1840622.4477056023,1840622.4477059466,100.00000000001872,2854
54000000000737,0109031143,ماسوله,608763.5174300767,455256.52200649364,74.78380503621177,1511
54000000000738,0316022147,زرنق,990909.3326499024,956767.0993764148,96.5544543634296,3733
54000000000739,0315021199,كليبر,3287757.787035314,3252712.902184128,98.9340794814819,9371
54000000000740,0302042294,هوراند,2923855.518223072,1207774.643412153,41.30760346688264,3169
54000000000741,2404032301,لاهرود,1338464.208503632,1338464.2085033306,99.99999999997748,897
54000000000742,2404021229,مشگين شهر,10067025.567783678,10021440.149325721,99.54718086140718,55909
54000000000743,0302021200,اهر,17897999.506544095,13727772.997291248,76.70004121003538,48749
54000000000744,0316021217,هريس,1947450.1797535939,1947450.1670316171,99.99999934673673,7857
54000000000745,0324022142,ورزقان,2055974.4699164047,0,0,0
54000000000746,0305021216,مهربان,1924686.2542375836,1924686.2542365154,99.9999999999445,4621
54000000000747,0316022333,كلوانق,1490860.1214359296,1377876.5394342258,92.42158399857908,4001
54000000000948,0214031189,نور,7019716.202104963,6786274.669788296,96.67448760611339,34814
54000000000949,0214032648,ايزدشهر,9003580.800220322,8587401.320596777,95.37762264971997,12091
54000000000950,0218021150,محمودآباد,10199394.547590945,8013552.723051347,78.56890608221559,30205
54000000001056,0917021393,درود,1725797.402925175,1702232.5955455252,98.63455540379722,3043
54000000001057,0918021386,چناران,12694217.162279565,5216968.524406538,41.09720558356747,18066
54000000001058,0932021388,شانديز,9659291.821977168,7820123.138064525,80.95959084983745,11345
54000000001059,0932011389,طرقبه,8484037.56970714,7854260.092363328,92.57691314813977,21851
54000000001060,0916062436,رضويه,1642286.8820339963,1639498.7492896337,99.83022864184915,3453
54000000001061,0928012609,شهرزو,1411741.7941892948,901010.5987535588,63.822619863072916,1567
54000000001062,0920021387,سرخس,9987002.613865372,4153654.505706881,41.590601968404314,11923
54000000001063,0920012607,مزدآوند,451048.7365325245,410916.1099907995,91.1023746900949,555
54000000000478,2306031594,ورامين,26159580.588342186,24154632.930235207,92.33570411675305,141815
54000000000479,2321011593,قرچك,21784931.20821752,13730875.315400438,63.02923421773762,117645
54000000000480,2313022120,پاكدشت,25773565.583746236,11517814.299890952,44.68847844302346,101621
54000000000481,2313012490,شريف آباد,2927442.6872034813,1804393.571717682,61.637195481404206,14459
54000000000482,2304021583,لواسان,26138471.67524537,15779426.00465583,60.3685869652427,20248
